croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,year,country
0.9914706303285816,0.0001,0.0,0.0001,0.010480237527697712,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9946154658230562,0.0,0.0001,0.004349035920127044,0.0001,0.0007354982568168084,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.9775982800885419,0.021901719911458135,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.03950000000000011,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2015,Bolivia (Plurinational State of)
0.96,0.0001,0.0,0.0001,0.045885337343779274,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.99490873979792,0.0,0.00010000000000000003,0.0035820361992220293,0.0001,0.0012092240028579442,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.9707129238346784,0.028787076165321637,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.039500000000000104,0.0001,0.96,0.0001,0.0001,0.0001,0.0,0.0001,0.03949999999999999,0.0001,0.0001,0.96,2016,Bolivia (Plurinational State of)
0.96,0.0001,0.0,0.0001,0.04280922149137113,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.004247440863393122,0.0,0.9953525591366069,0.0,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.004354925068823409,0.0001,0.0,0.0001,0.9724352504447135,0.021594207145250115,0.0001,0.0013156173412130433,0.0001,0.0001,0.0,0.0001,0.039500000000000104,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2017,Bolivia (Plurinational State of)
0.96,0.0001,0.0,0.0001,0.039500000000000604,0.0001,0.0001,0.0001,0.0396000000000001,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9951564644945853,0.0,0.003257145354843013,0.0006260714114699326,0.0001,0.0007603187391018047,0.00010000000000000347,0.0,0.039500000000000125,0.96,0.0001,0.0001,0.0001,0.0001,0.01272793442225785,0.0005153581627156252,0.0,0.005026044172696001,0.96,0.021084881592208577,0.0005457816501220468,0.0001,0.0001,0.0001,0.0,0.00010000000000000044,0.0395000000000001,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2013,Brazil
0.96,0.0009505398774527513,0.0,0.0001,0.029435641923802644,0.009313818198743724,0.0001,0.0001,0.039600000000000024,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9950947742576732,0.0,0.0045052257423267815,0.0001,0.0001,0.0001,0.0001,0.0,0.039500000000000125,0.96,0.0001,0.0001,0.0001,0.0001,0.012722881048405193,0.0001,0.0,0.005133511195253065,0.96,0.019383474975867676,0.00044811286766519265,0.002212019912808972,0.0001,0.0001,0.0,0.00010000000000000174,0.039500000000000104,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2014,Brazil
0.96,0.0001,0.0,0.0001,0.03949999999999915,0.0001,0.0001,0.0001,0.03960000000000002,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0003145627846184624,0.0,0.9953832141673529,0.0,0.0032073250669630653,0.0001,0.0001,0.0008948979810656704,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.012104639079852745,0.000531744285281448,0.0,0.002707974190241472,0.96,0.02407657624022228,0.0004790662044021637,0.0001,0.0001,0.0001,0.0,0.0001,0.03950000000000011,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2015,Brazil
0.96,0.0001,0.0,0.0001,0.0001,0.039500000000000146,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.039600000000000045,0.0001,0.0001,0.0001,0.0,0.9955228693103877,0.0,0.0001,0.004077130689612415,0.0001,0.0001,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.0395000000000001,0.0001,0.0001,0.03249769796982678,0.0009909993774409897,0.0,0.0022979960176569784,0.08718106191016957,0.8720254344038797,0.00029781240816706563,0.004708997912859013,0.0001,0.0001,0.0,0.0001,0.0001,0.00950000000000006,0.99,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.03949999999999999,0.0001,0.96,2016,Brazil
0.96,0.0001,0.0,0.0001,0.0001,0.03949999999999876,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.03960000000000006,0.0001,0.0001,0.0001,0.0,0.995731851013734,0.0,0.0001,0.003868148986266144,0.0001,0.0001,0.0001,0.0,0.0395000000000001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.0395000000000001,0.0001,0.0001,0.029105404561914128,0.0019536949541815282,0.0,0.012153916283566591,0.0809604891128682,0.8705729838631325,0.00011696371723071853,0.005136547507106464,0.0001,0.0001,0.0,0.0001,0.0001,0.009500000000000074,0.99,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0395,0.0001,0.96,2017,Brazil
0.96,0.0001,0.0,0.0001,0.034495097991466245,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9995,0.0,0.0001,0.0001,0.0001,0.0001,9.999999999999827e-05,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.011213105615412111,0.9882868943845879,0.0001,0.0001,0.0001,0.0003823126349291214,0.0001,0.0,0.0001,0.002504024331463861,0.9965781508633137,0.0002355121702934225,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2013,Chile
0.96,0.0001,0.0,0.0001,0.0001,0.03148369625472825,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9995,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.0014621854897365622,0.0001,0.0,0.00400085614538699,0.013835946508686036,0.978473163131598,0.00019903622996839468,0.0019288124946240596,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,2014,Chile
0.96,0.0001,0.0,0.0001,0.04270661694914208,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9994716322195196,0.0,0.0001283677804804135,0.0001,0.0001,0.0001,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.008164338204107262,0.9913356617958928,0.0001,0.0001,0.0001,9.999999999999998e-05,0.0001,0.0,0.0001,0.0010864333032845161,0.9966076087190262,0.00017984408026238546,0.0018261138974269367,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.016551110253767386,0.0001,0.0,0.023048889746232603,0.0001,0.0001,0.0001,0.96,2015,Chile
