r,f,l,val
costa_rica,fuel_electricity,jun_aug_we12,0.018659236201128634
costa_rica,fuel_electricity,jun_aug_we18,0.017793978218328232
costa_rica,fuel_electricity,jun_aug_we6,0.016987749989677364
costa_rica,fuel_electricity,mar_may_wd0,0.04435219101697306
costa_rica,fuel_electricity,mar_may_wd12,0.04838058962666403
costa_rica,fuel_electricity,mar_may_wd18,0.046137105974073285
costa_rica,fuel_electricity,mar_may_wd6,0.04404667758486458
costa_rica,fuel_electricity,mar_may_we0,0.016913069349858357
costa_rica,fuel_electricity,mar_may_we12,0.01844924114864283
costa_rica,fuel_electricity,mar_may_we18,0.017593720965051
costa_rica,fuel_electricity,mar_may_we6,0.016796566202075047
costa_rica,fuel_electricity,sep_nov_wd0,0.0433314129902325
costa_rica,fuel_electricity,sep_nov_wd12,0.04726709688415776
costa_rica,fuel_electricity,sep_nov_wd18,0.04507524763256065
costa_rica,fuel_electricity,sep_nov_wd6,0.04303293103483846
costa_rica,fuel_electricity,sep_nov_we0,0.016523810349091794
costa_rica,fuel_electricity,sep_nov_we12,0.018024626726158822
costa_rica,fuel_electricity,sep_nov_we18,0.01718879657782386
costa_rica,fuel_electricity,sep_nov_we6,0.01640998855369664
dominican_republic,fuel_electricity,dec_feb_wd0,0.038970963389838714
dominican_republic,fuel_electricity,dec_feb_wd12,0.042510598549640975
dominican_republic,fuel_electricity,dec_feb_wd18,0.04053931556934003
dominican_republic,fuel_electricity,dec_feb_wd6,0.038702517739132365
dominican_republic,fuel_electricity,dec_feb_we0,0.014861015686708608
dominican_republic,fuel_electricity,dec_feb_we12,0.016210804582324212
dominican_republic,fuel_electricity,dec_feb_we18,0.01545908420527979
dominican_republic,fuel_electricity,dec_feb_we6,0.0147586478035678
dominican_republic,fuel_electricity,jun_aug_wd0,0.048778868346442544
dominican_republic,fuel_electricity,jun_aug_wd12,0.05320933098928942
dominican_republic,fuel_electricity,jun_aug_wd18,0.05074193104313478
dominican_republic,fuel_electricity,jun_aug_wd6,0.048442862409843246
dominican_republic,fuel_electricity,jun_aug_we0,0.018601119003011046
dominican_republic,fuel_electricity,jun_aug_we12,0.020290612130909727
dominican_republic,fuel_electricity,jun_aug_we18,0.01934970469327761
dominican_republic,fuel_electricity,jun_aug_we6,0.018472987977747976
dominican_republic,fuel_electricity,mar_may_wd0,0.04417631100861235
dominican_republic,fuel_electricity,mar_may_wd12,0.048188734876922865
dominican_republic,fuel_electricity,mar_may_wd18,0.045954147829314354
dominican_republic,fuel_electricity,mar_may_wd6,0.04387200909962734
dominican_republic,fuel_electricity,mar_may_we0,0.016846000041432985
dominican_republic,fuel_electricity,mar_may_we12,0.01837608010263655
dominican_republic,fuel_electricity,mar_may_we18,0.01752395251123899
dominican_republic,fuel_electricity,mar_may_we6,0.01672995889054625
dominican_republic,fuel_electricity,sep_nov_wd0,0.04360849982501424
dominican_republic,fuel_electricity,sep_nov_wd12,0.047569350823301305
dominican_republic,fuel_electricity,sep_nov_wd18,0.045363485583543806
dominican_republic,fuel_electricity,sep_nov_wd6,0.0433081091984149
dominican_republic,fuel_electricity,sep_nov_we0,0.01662947342334224
dominican_republic,fuel_electricity,sep_nov_we12,0.018139886913238333
dominican_republic,fuel_electricity,sep_nov_we18,0.01729871196965588
dominican_republic,fuel_electricity,sep_nov_we6,0.016514923783668794
ecuador,fuel_electricity,dec_feb_wd0,0.042933443510648275
ecuador,fuel_electricity,dec_feb_wd12,0.04683298083184519
ecuador,fuel_electricity,dec_feb_wd18,0.04466126222094936
ecuador,fuel_electricity,dec_feb_wd6,0.042637702908472526
