country,optimization_bound,croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands
brazil,min_diagonal,0.95,0.0001875,0.0,0.0,0.044171053491253186,0.005,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.00075,0.0,0.9961257503185207,0.0,0.003078717072103657,4.5532609375623337e-05,0.0,0.0,0.039574429944190234,0.0,0.0005,0.95,0.00075,0.0001,0.0015755700558098048,0.0075,0.013793231726057243,0.0003862366191537055,0.0,0.004177073171092743,0.9754323749312312,0.004958503244388308,0.00014442040188368128,0.0011081599061931512,0.0015721410420424585,0.0,0.0,0.0,0.0030660519136908766,0.9948618070442667,0.0,0.0005000000000000015,0.004975000000000002,0.0,0.0,0.0,0.0049499999999999995,7.500000000000001e-05,0.99,0.0,0.00806903813600157,0.002525170916609043,0.0,0.0048500000000000045,0.00025,0.0001,0.0042057909473894005,0.98
chile,max_diagonal,0.9081697259389626,0.0,0.0,0.0712597183098591,0.0001,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.030000000000000034,0.01,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.038500000000000034,0.0,0.0005,0.96,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,0.001851688217502738,0.0,0.0,0.0,0.002114170691802223,0.995936835079794,9.730601090102797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916387334609261,0.00836126653907386,0.0,0.0,0.0,0.0,0.0005,0.0,0.0009999999999999454,0.9985
chile,min_diagonal,0.95,0.0,0.0,0.029429444248822136,0.0001,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000025,0.01,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.03446627482273909,0.0,0.0005,0.963933725177261,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9944003506492015,0.005,0.0003504423785999516,0.00024920697219848873,0.0,0.0,0.0,0.0018017512186280255,0.002266811098200966,0.995931437683171,0.0,0.0,0.0,0.0,0.0,0.0,0.00990000000000001,0.0001,0.99,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.98
colombia,max_diagonal,0.9845989508037296,0.0,0.0,0.0,0.0001,0.005,0.0,0.002931979185785087,0.0,0.97925,0.0,0.0,0.0011140598271805581,5e-06,0.01388094017281946,0.005749999999999973,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.0027484425087819587,0.0,0.0005,0.995701557491218,0.0005,0.0001,0.0,0.000449999999999973,0.0010672294992686994,0.0002997321517566988,0.0,4.907539809923985e-05,0.9939407679368073,0.003597500771423083,0.0,0.0010456942426449608,0.007671756503207868,0.0025908388973918733,0.0,0.0,0.0,0.9897374045994003,0.0,0.0,0.0,0.0050000000000000044,0.0,0.0,0.004950000000000005,5e-05,0.99,0.0,0.02000000000000002,0.0,0.0,0.004489803771210445,0.0,5e-05,0.015460196228789573,0.96
colombia,min_diagonal,0.95,0.0,0.0,0.0,0.03035088775644531,0.005,0.0,0.0072800422330696534,0.0,0.984,0.0,0.0,0.0,0.015000000000000013,0.0,0.0010000000000000009,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.024750000000000022,0.0,0.0005,0.974,0.0005,5e-05,0.00019999999999999922,0.0,0.008206901514335237,0.0002520457997656738,0.0,0.0002697755447269422,0.9875717023653225,0.0036995747758496933,0.0,0.0,0.0,0.0,0.0,0.0,0.006306252607669991,0.984768758291007,0.005579778226773874,0.0033452108745491444,0.0,0.0,0.0,0.0,0.004950000000000005,0.0001,0.99,0.004950000000000005,0.0,0.008214530774978489,0.0,0.001785469225021521,0.0,0.0,0.0010000000000000009,0.989
costa_rica,max_diagonal,0.9746729234693882,0.0,0.0,0.0,0.0001,0.005,0.0,0.0,0.0,0.96,0.0,0.0,0.03999000000000003,1e-05,0.0,0.0,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0005,0.9984,0.001,0.0001,0.0,0.0,0.007671447505584409,0.0030555310826392715,0.0,0.0015471034996276999,0.9856279816975709,0.00011623685856736787,0.0019816993560103414,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.00036475299763924637,0.001135247002360701,0.0,0.0,0.0,0.0,0.00990000000000001,0.0001,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.03990000000000003,0.96
costa_rica,min_diagonal,0.974672923469388,0.0,0.0,0.0,0.0001,0.005000000000000001,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0005,0.998,0.0,0.0,0.0014999999999999985,0.0,0.00767144750558441,0.002466599111367523,0.0,0.001102020227496153,0.9884742710349964,0.0002249694645664704,6.069265598907437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0013476423096709569,0.000652357690329045,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.98
dominican_republic,max_diagonal,0.9919221392770685,0.0,0.0,0.007977860722931333,0.0001,0.0,0.0,0.0,0.040000000000000036,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.03950000000000003,0.0,0.0005,0.96,0.0,0.0,0.0,0.0,0.006528566889322184,0.00029514749536472553,0.0,0.0,0.9931762856153131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022211295005016486,0.9741762591117218,0.0,0.0036124458832616827,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.96
dominican_republic,min_diagonal,0.9930003684005363,0.0001608328981649901,0.0,0.006738798701298702,0.0001,0.0,0.0,0.0,0.030000000000000027,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.0,0.99625,0.0,0.003,0.0,0.0,0.0,0.0005000000000000013,0.0,0.0005,0.998,0.001,0.0,0.0,0.0,0.003738451957903368,0.0,0.0,0.0,0.9942759406338215,0.001985607408275155,0.0,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.99,0.0,0.019500000000000017,0.0,0.0,0.0,0.0005,0.0,0.0,0.98
ecuador,max_diagonal,0.9490934108722293,0.0,0.0,0.0,0.04872135450815238,0.002449999999999884,0.0,0.0,0.0,0.9765507430704718,0.0,0.0,0.017471931716978972,5e-06,0.0,0.005972325212549239,0.00075,0.0,0.9960976055587498,0.0,0.003072390064525748,0.0,0.0,8.000437672442061e-05,0.0,0.0,0.0,0.9942,0.0,5e-05,0.0,0.005749999999999976,0.03710365363959167,0.0007113863339338805,0.0,0.0010434383735177454,0.9584423327974276,0.001133653882431026,0.00155530339845581,1.0231574642269172e-05,0.0007499999999999733,0.0,0.0,0.0,0.014083650211553236,0.9851663497884469,0.0,0.0,0.0,0.0,0.0,0.0007499999999999729,0.004950000000000005,5e-05,0.9942500000000001,0.0,0.0,0.0,0.0,0.019950000000000016,0.0,5e-05,0.0007499999999999729,0.97925
