iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
BRA,2011,-4,0.16459397807645199
BRA,2012,-3,0.170761675207736
BRA,2013,-2,0.16633805875019297
BRA,2014,-1,0.157747976385378
BRA,2015,0,0.1651400415298446
BRA,2016,1,0.1651400415298446
BRA,2017,2,0.1651400415298446
BRA,2018,3,0.1651400415298446
BRA,2019,4,0.1651400415298446
BRA,2020,5,0.1651400415298446
BRA,2021,6,0.1651400415298446
BRA,2022,7,0.1651400415298446
BRA,2023,8,0.1651400415298446
BRA,2024,9,0.1651400415298446
BRA,2025,10,0.1651400415298446
BRA,2026,11,0.1651400415298446
BRA,2027,12,0.1651400415298446
BRA,2028,13,0.1651400415298446
BRA,2029,14,0.1651400415298446
BRA,2030,15,0.1651400415298446
BRA,2031,16,0.1651400415298446
BRA,2032,17,0.1651400415298446
BRA,2033,18,0.1651400415298446
BRA,2034,19,0.1651400415298446
BRA,2035,20,0.1651400415298446
BRA,2036,21,0.1651400415298446
BRA,2037,22,0.1651400415298446
BRA,2038,23,0.1651400415298446
BRA,2039,24,0.1651400415298446
BRA,2040,25,0.1651400415298446
BRA,2041,26,0.1651400415298446
BRA,2042,27,0.1651400415298446
BRA,2043,28,0.1651400415298446
BRA,2044,29,0.1651400415298446
BRA,2045,30,0.1651400415298446
BRA,2046,31,0.1651400415298446
BRA,2047,32,0.1651400415298446
BRA,2048,33,0.1651400415298446
BRA,2049,34,0.1651400415298446
BRA,2050,35,0.1651400415298446
CHL,2010,-5,0.08218883410000989
CHL,2011,-4,0.0713253085386453
CHL,2012,-3,0.0501641553526114
CHL,2013,-2,0.0669267090946418
CHL,2014,-1,0.06735041779616019
CHL,2015,0,0.06759108497641371
CHL,2016,1,0.06759108497641371
CHL,2017,2,0.06759108497641371
CHL,2018,3,0.06759108497641371
CHL,2019,4,0.06759108497641371
CHL,2020,5,0.06759108497641371
CHL,2021,6,0.06759108497641371
CHL,2022,7,0.06759108497641371
CHL,2023,8,0.06759108497641371
CHL,2024,9,0.06759108497641371
CHL,2025,10,0.06759108497641371
CHL,2026,11,0.06759108497641371
CHL,2027,12,0.06759108497641371
CHL,2028,13,0.06759108497641371
CHL,2029,14,0.06759108497641371
CHL,2030,15,0.06759108497641371
CHL,2031,16,0.06759108497641371
CHL,2032,17,0.06759108497641371
CHL,2033,18,0.06759108497641371
CHL,2034,19,0.06759108497641371
CHL,2035,20,0.06759108497641371
CHL,2036,21,0.06759108497641371
CHL,2037,22,0.06759108497641371
CHL,2038,23,0.06759108497641371
CHL,2039,24,0.06759108497641371
CHL,2040,25,0.06759108497641371
CHL,2041,26,0.06759108497641371
CHL,2042,27,0.06759108497641371
CHL,2043,28,0.06759108497641371
CHL,2044,29,0.06759108497641371
CHL,2045,30,0.06759108497641371
CHL,2046,31,0.06759108497641371
CHL,2047,32,0.06759108497641371
CHL,2048,33,0.06759108497641371
CHL,2049,34,0.06759108497641371
CHL,2050,35,0.06759108497641371
COL,2010,-5,0.153759423801831
COL,2011,-4,0.121793295631506
COL,2012,-3,0.123808912701723
COL,2013,-2,0.103242247113363
COL,2014,-1,0.10678780790460801
COL,2015,0,0.12187833743060619
COL,2016,1,0.12187833743060619
COL,2017,2,0.12187833743060619
COL,2018,3,0.12187833743060619
COL,2019,4,0.12187833743060619
COL,2020,5,0.12187833743060619
COL,2021,6,0.12187833743060619
COL,2022,7,0.12187833743060619
COL,2023,8,0.12187833743060619
COL,2024,9,0.12187833743060619
COL,2025,10,0.12187833743060619
COL,2026,11,0.12187833743060619
COL,2027,12,0.12187833743060619
COL,2028,13,0.12187833743060619
COL,2029,14,0.12187833743060619
COL,2030,15,0.12187833743060619
COL,2031,16,0.12187833743060619
COL,2032,17,0.12187833743060619
COL,2033,18,0.12187833743060619
COL,2034,19,0.12187833743060619
COL,2035,20,0.12187833743060619
COL,2036,21,0.12187833743060619
COL,2037,22,0.12187833743060619
COL,2038,23,0.12187833743060619
COL,2039,24,0.12187833743060619
COL,2040,25,0.12187833743060619
COL,2041,26,0.12187833743060619
COL,2042,27,0.12187833743060619
COL,2043,28,0.12187833743060619
COL,2044,29,0.12187833743060619
COL,2045,30,0.12187833743060619
COL,2046,31,0.12187833743060619
COL,2047,32,0.12187833743060619
COL,2048,33,0.12187833743060619
COL,2049,34,0.12187833743060619
COL,2050,35,0.12187833743060619
CRI,2010,-5,0.101220912031723
CRI,2011,-4,0.10781122864117201
CRI,2012,-3,0.106447808138392
CRI,2013,-2,0.10581338544211
CRI,2014,-1,0.108250954291866
CRI,2015,0,0.1059088577090526
CRI,2016,1,0.1059088577090526
CRI,2017,2,0.1059088577090526
CRI,2018,3,0.1059088577090526
CRI,2019,4,0.1059088577090526
CRI,2020,5,0.1059088577090526
CRI,2021,6,0.1059088577090526
CRI,2022,7,0.1059088577090526
CRI,2023,8,0.1059088577090526
CRI,2024,9,0.1059088577090526
CRI,2025,10,0.1059088577090526
CRI,2026,11,0.1059088577090526
CRI,2027,12,0.1059088577090526
CRI,2028,13,0.1059088577090526
CRI,2029,14,0.1059088577090526
CRI,2030,15,0.1059088577090526
CRI,2031,16,0.1059088577090526
CRI,2032,17,0.1059088577090526
CRI,2033,18,0.1059088577090526
CRI,2034,19,0.1059088577090526
CRI,2035,20,0.1059088577090526
CRI,2036,21,0.1059088577090526
CRI,2037,22,0.1059088577090526
CRI,2038,23,0.1059088577090526
CRI,2039,24,0.1059088577090526
CRI,2040,25,0.1059088577090526
CRI,2041,26,0.1059088577090526
CRI,2042,27,0.1059088577090526
CRI,2043,28,0.1059088577090526
CRI,2044,29,0.1059088577090526
CRI,2045,30,0.1059088577090526
CRI,2046,31,0.1059088577090526
CRI,2047,32,0.1059088577090526
CRI,2048,33,0.1059088577090526
CRI,2049,34,0.1059088577090526
CRI,2050,35,0.1059088577090526
DOM,2010,-5,0.120148610097525
DOM,2011,-4,0.116862160988022
DOM,2012,-3,0.11647496224003699
DOM,2013,-2,0.113546141715156
DOM,2014,-1,0.121786887102253
DOM,2015,0,0.1177637524285986
DOM,2016,1,0.1177637524285986
DOM,2017,2,0.1177637524285986
DOM,2018,3,0.1177637524285986
DOM,2019,4,0.1177637524285986
DOM,2020,5,0.1177637524285986
DOM,2021,6,0.1177637524285986
DOM,2022,7,0.1177637524285986
DOM,2023,8,0.1177637524285986
DOM,2024,9,0.1177637524285986
DOM,2025,10,0.1177637524285986
DOM,2026,11,0.1177637524285986
DOM,2027,12,0.1177637524285986
DOM,2028,13,0.1177637524285986
DOM,2029,14,0.1177637524285986
DOM,2030,15,0.1177637524285986
DOM,2031,16,0.1177637524285986
DOM,2032,17,0.1177637524285986
DOM,2033,18,0.1177637524285986
DOM,2034,19,0.1177637524285986
DOM,2035,20,0.1177637524285986
DOM,2036,21,0.1177637524285986
DOM,2037,22,0.1177637524285986
DOM,2038,23,0.1177637524285986
DOM,2039,24,0.1177637524285986
DOM,2040,25,0.1177637524285986
DOM,2041,26,0.1177637524285986
DOM,2042,27,0.1177637524285986
DOM,2043,28,0.1177637524285986
DOM,2044,29,0.1177637524285986
DOM,2045,30,0.1177637524285986
DOM,2046,31,0.1177637524285986
DOM,2047,32,0.1177637524285986
DOM,2048,33,0.1177637524285986
DOM,2049,34,0.1177637524285986
DOM,2050,35,0.1177637524285986
ECU,2010,-5,0.168640114818802
ECU,2011,-4,0.163015965732087
ECU,2012,-3,0.144964327920515
ECU,2013,-2,0.12953011478440302
ECU,2014,-1,0.129222034804789
ECU,2015,0,0.1470745116121192
ECU,2016,1,0.1470745116121192
ECU,2017,2,0.1470745116121192
ECU,2018,3,0.1470745116121192
ECU,2019,4,0.1470745116121192
ECU,2020,5,0.1470745116121192
ECU,2021,6,0.1470745116121192
ECU,2022,7,0.1470745116121192
ECU,2023,8,0.1470745116121192
ECU,2024,9,0.1470745116121192
ECU,2025,10,0.1470745116121192
ECU,2026,11,0.1470745116121192
ECU,2027,12,0.1470745116121192
ECU,2028,13,0.1470745116121192
ECU,2029,14,0.1470745116121192
ECU,2030,15,0.1470745116121192
ECU,2031,16,0.1470745116121192
ECU,2032,17,0.1470745116121192
ECU,2033,18,0.1470745116121192
ECU,2034,19,0.1470745116121192
ECU,2035,20,0.1470745116121192
ECU,2036,21,0.1470745116121192
ECU,2037,22,0.1470745116121192
ECU,2038,23,0.1470745116121192
ECU,2039,24,0.1470745116121192
ECU,2040,25,0.1470745116121192
ECU,2041,26,0.1470745116121192
ECU,2042,27,0.1470745116121192
ECU,2043,28,0.1470745116121192
ECU,2044,29,0.1470745116121192
ECU,2045,30,0.1470745116121192
ECU,2046,31,0.1470745116121192
ECU,2047,32,0.1470745116121192
ECU,2048,33,0.1470745116121192
ECU,2049,34,0.1470745116121192
ECU,2050,35,0.1470745116121192
GTM,2010,-5,0.133475767457551
GTM,2011,-4,0.164252260102385
GTM,2012,-3,0.138546536336592
GTM,2013,-2,0.08618951612903229
GTM,2014,-1,0.0945945945945946
GTM,2015,0,0.12341173492403097
GTM,2016,1,0.12341173492403097
GTM,2017,2,0.12341173492403097
GTM,2018,3,0.12341173492403097
GTM,2019,4,0.12341173492403097
GTM,2020,5,0.12341173492403097
GTM,2021,6,0.12341173492403097
GTM,2022,7,0.12341173492403097
GTM,2023,8,0.12341173492403097
GTM,2024,9,0.12341173492403097
GTM,2025,10,0.12341173492403097
GTM,2026,11,0.12341173492403097
GTM,2027,12,0.12341173492403097
GTM,2028,13,0.12341173492403097
GTM,2029,14,0.12341173492403097
GTM,2030,15,0.12341173492403097
GTM,2031,16,0.12341173492403097
GTM,2032,17,0.12341173492403097
GTM,2033,18,0.12341173492403097
GTM,2034,19,0.12341173492403097
GTM,2035,20,0.12341173492403097
GTM,2036,21,0.12341173492403097
GTM,2037,22,0.12341173492403097
GTM,2038,23,0.12341173492403097
GTM,2039,24,0.12341173492403097
GTM,2040,25,0.12341173492403097
GTM,2041,26,0.12341173492403097
GTM,2042,27,0.12341173492403097
GTM,2043,28,0.12341173492403097
GTM,2044,29,0.12341173492403097
GTM,2045,30,0.12341173492403097
GTM,2046,31,0.12341173492403097
GTM,2047,32,0.12341173492403097
GTM,2048,33,0.12341173492403097
GTM,2049,34,0.12341173492403097
GTM,2050,35,0.12341173492403097
HND,2010,-5,0.243027888446215
HND,2011,-4,0.26995949300927696
HND,2012,-3,0.298966408268734
HND,2013,-2,0.312979935595739
HND,2014,-1,0.34946504105498905
HND,2015,0,0.2948797532749908
HND,2016,1,0.2948797532749908
HND,2017,2,0.2948797532749908
HND,2018,3,0.2948797532749908
HND,2019,4,0.2948797532749908
HND,2020,5,0.2948797532749908
HND,2021,6,0.2948797532749908
HND,2022,7,0.2948797532749908
HND,2023,8,0.2948797532749908
HND,2024,9,0.2948797532749908
HND,2025,10,0.2948797532749908
HND,2026,11,0.2948797532749908
HND,2027,12,0.2948797532749908
HND,2028,13,0.2948797532749908
HND,2029,14,0.2948797532749908
HND,2030,15,0.2948797532749908
HND,2031,16,0.2948797532749908
HND,2032,17,0.2948797532749908
HND,2033,18,0.2948797532749908
HND,2034,19,0.2948797532749908
HND,2035,20,0.2948797532749908
HND,2036,21,0.2948797532749908
HND,2037,22,0.2948797532749908
HND,2038,23,0.2948797532749908
HND,2039,24,0.2948797532749908
HND,2040,25,0.2948797532749908
HND,2041,26,0.2948797532749908
HND,2042,27,0.2948797532749908
HND,2043,28,0.2948797532749908
HND,2044,29,0.2948797532749908
HND,2045,30,0.2948797532749908
HND,2046,31,0.2948797532749908
HND,2047,32,0.2948797532749908
HND,2048,33,0.2948797532749908
HND,2049,34,0.2948797532749908
HND,2050,35,0.2948797532749908
HTI,2010,-5,0.5843270868824529
HTI,2011,-4,0.664899257688229
HTI,2012,-3,0.57
HTI,2013,-2,0.567772511848341
HTI,2014,-1,0.601161665053243
HTI,2015,0,0.5976321042944532
HTI,2016,1,0.5976321042944532
HTI,2017,2,0.5976321042944532
HTI,2018,3,0.5976321042944532
HTI,2019,4,0.5976321042944532
HTI,2020,5,0.5976321042944532
HTI,2021,6,0.5976321042944532
HTI,2022,7,0.5976321042944532
HTI,2023,8,0.5976321042944532
HTI,2024,9,0.5976321042944532
HTI,2025,10,0.5976321042944532
HTI,2026,11,0.5976321042944532
HTI,2027,12,0.5976321042944532
HTI,2028,13,0.5976321042944532
HTI,2029,14,0.5976321042944532
HTI,2030,15,0.5976321042944532
HTI,2031,16,0.5976321042944532
HTI,2032,17,0.5976321042944532
HTI,2033,18,0.5976321042944532
HTI,2034,19,0.5976321042944532
HTI,2035,20,0.5976321042944532
HTI,2036,21,0.5976321042944532
HTI,2037,22,0.5976321042944532
HTI,2038,23,0.5976321042944532
HTI,2039,24,0.5976321042944532
HTI,2040,25,0.5976321042944532
HTI,2041,26,0.5976321042944532
HTI,2042,27,0.5976321042944532
HTI,2043,28,0.5976321042944532
HTI,2044,29,0.5976321042944532
HTI,2045,30,0.5976321042944532
HTI,2046,31,0.5976321042944532
HTI,2047,32,0.5976321042944532
HTI,2048,33,0.5976321042944532
HTI,2049,34,0.5976321042944532
HTI,2050,35,0.5976321042944532
JAM,2010,-5,0.208796296296296
JAM,2011,-4,0.22010994044892299
JAM,2012,-3,0.259417378201909
JAM,2013,-2,0.27473077886301
JAM,2014,-1,0.267458777885548
JAM,2015,0,0.24610263433913723
JAM,2016,1,0.24610263433913723
JAM,2017,2,0.24610263433913723
JAM,2018,3,0.24610263433913723
JAM,2019,4,0.24610263433913723
JAM,2020,5,0.24610263433913723
JAM,2021,6,0.24610263433913723
JAM,2022,7,0.24610263433913723
JAM,2023,8,0.24610263433913723
JAM,2024,9,0.24610263433913723
JAM,2025,10,0.24610263433913723
JAM,2026,11,0.24610263433913723
JAM,2027,12,0.24610263433913723
JAM,2028,13,0.24610263433913723
JAM,2029,14,0.24610263433913723
JAM,2030,15,0.24610263433913723
JAM,2031,16,0.24610263433913723
JAM,2032,17,0.24610263433913723
JAM,2033,18,0.24610263433913723
JAM,2034,19,0.24610263433913723
JAM,2035,20,0.24610263433913723
JAM,2036,21,0.24610263433913723
