year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2013,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2014,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2015,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2016,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2017,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2018,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2019,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2020,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2021,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2022,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2023,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2024,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2025,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2026,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2027,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2028,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2029,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2030,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2031,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2032,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2033,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2034,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2035,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2036,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2037,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2038,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2039,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2040,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2041,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2042,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2043,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2044,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2045,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2046,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2047,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2048,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2049,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2050,SWZ,1271608.059,83342.5587205987,8350.8468133525,1596.14767628323,35531.4440283086,49152.6409049659,201546.039153582,48168.2113816755,13424.7191441384,512.272728181418,8201.03322498936
2010,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2011,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2012,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2013,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
